No,Nama Barang,Harga Pasaran (Rp),Harga Jual (Rp),Selisih (Rp),Persentase Markup (%),Kategori Markup
182,Mesin Espresso De'Longhi La Specialista,11474014,12262735,788721,6.9,Normal
183,Caviar Beluga 30g,2705552,2911440,205888,7.6,Normal
184,Oli Mesin Castrol Edge 5W-40 4L,281263,344567,63304,22.5,Normal
185,Cover Mobil All New Silver,503545,628192,124647,24.8,Normal
186,Keju Parmigiano Reggiano 500g,367205,453120,85915,23.4,Normal
187,Sneakers New Balance 990v6,2820545,3294808,474263,16.8,Normal
188,Rice Cooker Zojirushi 1.8L,2741203,3080742,339539,12.4,Normal
189,Special Cokelat KitKat 4 finger,23602,322152,298550,1264.9,MARKUP GILA-GILAAN ⚠️
190,Tas Gucci Marmont,26980968,32570659,5589691,20.7,Normal
191,Sepeda Statis Peloton Bike+,23625969,28270288,4644319,19.7,Normal
192,Protein Bar Quest Nutrition Box 12,361781,405595,43814,12.1,Normal
193,Rice Cooker Zojirushi 1.8L,2724180,3398286,674106,24.7,Normal
194,Pasta Barilla Linguine 500g,43605,49239,5634,12.9,Normal
195,Ultra Minuman Teh Kotak 200ml,37646,396861,359215,954.2,MARKUP GILA-GILAAN ⚠️
196,Sepeda Statis Peloton Bike+,23893392,29790518,5897126,24.7,Normal
197,Deodorant Dove Original 150ml,46574,52402,5828,12.5,Normal
198,Exclusive Sabun Cuci Piring biasa 800ml,36700,476405,439705,1198.1,MARKUP GILA-GILAAN ⚠️
199,Sepatu Nike Air Jordan 1 High,2572760,2789972,217212,8.4,Normal
200,Topi Snapback New Era,488409,522518,34109,7.0,Normal
201,Karpet Mobil Universal All New,361038,447666,86628,24.0,Normal
202,MacBook Pro M3 14 inch,29996361,37317335,7320974,24.4,Normal
203,Sepatu Formal Clarks Desert Boot,1867876,2139100,271224,14.5,Normal
204,Artisan Sabun Cuci Piring biasa 800ml,23310,178314,155004,665.0,MARKUP GILA-GILAAN ⚠️
205,Salmon Sashimi Grade 500g,270243,323568,53325,19.7,Normal
206,Suplemen Vitamin C 1000mg 100 Tab,114428,132813,18385,16.1,Normal
207,Sneakers New Balance 990v6,2933638,3556750,623112,21.2,Normal
208,Kopi Luwak Premium 200g,350650,391683,41033,11.7,Normal
209,Barbel Set 20kg Body Gym,816636,896798,80162,9.8,Normal
210,Ban Bridgestone Ecopia 195/65 R15,942550,1004365,61815,6.6,Normal
211,Organic Pulpen Pilot G2 0.5mm,19054,154860,135806,712.7,MARKUP GILA-GILAAN ⚠️
212,Anggur Red Wine Bordeaux,618064,739636,121572,19.7,Normal
213,Buku Thinking Fast and Slow,102798,116958,14160,13.8,Normal
214,Luxury Air Kelapa kemasan 330ml,48153,250867,202714,421.0,MARKUP GILA-GILAAN ⚠️
215,Coffee Maker Nespresso Vertuo Next,2117629,2584705,467076,22.1,Normal
216,Celana Jeans Levi's 501,897644,1069280,171636,19.1,Normal
217,Samsung Galaxy S24 Ultra,18710642,21542935,2832293,15.1,Normal
218,Premium Minuman Teh Kotak 200ml,26574,413328,386754,1455.4,MARKUP GILA-GILAAN ⚠️
219,Ikat Pinggang Hermes,12309954,14135282,1825328,14.8,Normal
220,Buku Sapiens Yuval Noah Harari,109610,129526,19916,18.2,Normal
221,Ultra Lem Kertas UHU 21g,6496,38321,31825,489.9,MARKUP GILA-GILAAN ⚠️
222,OPPO Find X7 Ultra,14600598,16120989,1520391,10.4,Normal
223,iPad Pro 12.9 inch M2,18467731,22107407,3639676,19.7,Normal
224,Buku Thinking Fast and Slow,100773,113755,12982,12.9,Normal
225,Micellar Water Bioderma 500ml,225319,272553,47234,21.0,Normal
226,Baju Renang Speedo Fastskin,825749,963763,138014,16.7,Normal
227,Samsung 65 inch QLED TV,15302602,18223201,2920599,19.1,Normal
228,Caviar Beluga 30g,2745713,3258037,512324,18.7,Normal
229,Artisan Air Kelapa kemasan 330ml,68824,1002424,933600,1356.5,MARKUP GILA-GILAAN ⚠️
230,Protein Whey Optimum Nutrition 5lb,772230,866260,94030,12.2,Normal
231,Coffee Maker Nespresso Vertuo Next,2273766,2795285,521519,22.9,Normal
232,Microwave Sharp 27L,1149809,1432210,282401,24.6,Normal
233,Kompor Tanam Rinnai 4 Tungku,3618455,4181777,563322,15.6,Normal
234,Micellar Water Bioderma 500ml,224437,275356,50919,22.7,Normal
235,Ultra Air Mineral Premium 500ml,24879,183455,158576,637.4,MARKUP GILA-GILAAN ⚠️
236,Air Fryer Philips 7L HD9270,1469859,1689444,219585,14.9,Normal
237,Keju Parmigiano Reggiano 500g,366797,428793,61996,16.9,Normal
238,Tas Louis Vuitton Neverfull MM,33302693,38573437,5270744,15.8,Normal
239,GPS Tracker Concox GT06N,451974,492870,40896,9.0,Normal
240,Raket Badminton Yonex Astrox 99,3306634,4020763,714129,21.6,Normal
241,Saus Truffle Urbani 180g,335802,387620,51818,15.4,Normal
242,Sepeda Statis Peloton Bike+,24916139,29763361,4847222,19.5,Normal
243,Earphone TWS Sony WF-1000XM5,3645569,3846197,200628,5.5,Normal
244,Robot Vacuum Cleaner Roomba j7+,8166561,10181519,2014958,24.7,Normal
245,Parfum Chanel No. 5 100ml,3407124,3912201,505077,14.8,Normal
246,Artisan Air Mineral Premium 500ml,53551,652067,598516,1117.7,MARKUP GILA-GILAAN ⚠️
247,Vacuum Cleaner Dyson V15 Detect,9802375,11676838,1874463,19.1,Normal
248,Toaster Oven Breville BOV900BSS,5445748,5763078,317330,5.8,Normal
249,Mesin Espresso De'Longhi La Specialista,12501018,14634915,2133897,17.1,Normal
250,Special Cotton Bud biasa 200pcs,58887,344548,285661,485.1,MARKUP GILA-GILAAN ⚠️
251,Gloves Boxing Everlast Pro Style,486922,598834,111912,23.0,Normal
252,Sepatu Vans Old Skool,884037,1059675,175638,19.9,Normal
253,Ultra Obat Paracetamol 500mg strip,49163,628331,579168,1178.1,MARKUP GILA-GILAAN ⚠️
254,Mixer KitchenAid Artisan 4.8L,9849269,11282547,1433278,14.6,Normal
255,Serum Rambut Pantene 70ml,86076,92147,6071,7.1,Normal
256,Premium Selotip bening 1 roll,62919,343133,280214,445.4,MARKUP GILA-GILAAN ⚠️
257,Buku Sapiens Yuval Noah Harari,115989,140246,24257,20.9,Normal
258,Special Tisu Makan Premium 200 lembar,23887,104037,80150,335.5,MARKUP GILA-GILAAN ⚠️
259,Gold Edition Hand Sanitizer 100ml,10721,151900,141179,1316.8,MARKUP GILA-GILAAN ⚠️
260,Buku Atomic Habits James Clear,100528,124604,24076,23.9,Normal
261,Barbel Set 20kg Body Gym,799507,896959,97452,12.2,Normal
262,AC Daikin Inverter 1.5 PK,5610092,6639048,1028956,18.3,Normal
263,Luxury Air Mineral Premium 500ml,11552,131071,119519,1034.6,MARKUP GILA-GILAAN ⚠️
264,Toner Some By Mi AHA BHA PHA,181381,201221,19840,10.9,Normal
265,Kulkas Samsung Side by Side 700L,18617316,21808347,3191031,17.1,Normal
266,Barbel Set 20kg Body Gym,765213,868628,103415,13.5,Normal
267,Exclusive Masker medis 3 ply 50pcs,12327,93544,81217,658.9,MARKUP GILA-GILAAN ⚠️
268,AC Daikin Inverter 1.5 PK,5317602,6453764,1136162,21.4,Normal
269,Syal Burberry Classic Check,5040613,5764080,723467,14.4,Normal
270,Dashcam Viofo A129 Pro Duo,2192311,2597373,405062,18.5,Normal
271,Special Keripik Kentang Lays Original 75g,17229,165147,147918,858.5,MARKUP GILA-GILAAN ⚠️
272,Lipstik Charlotte Tilbury Pillowtalk,462459,577538,115079,24.9,Normal
273,Teh Darjeeling FTGFOP1 100g,290119,332007,41888,14.4,Normal
274,Celana Jeans Levi's 501,862009,1002321,140312,16.3,Normal
275,RAM Corsair Vengeance 32GB DDR5,2519862,2796713,276851,11.0,Normal
276,Rice Cooker Zojirushi 1.8L,2822680,3443854,621174,22.0,Normal
277,Robot Vacuum Cleaner Roomba j7+,8184126,10133048,1948922,23.8,Normal
278,Kulkas Samsung Side by Side 700L,18321610,21627392,3305782,18.0,Normal
279,Artisan Minuman Teh Kotak 200ml,11935,146814,134879,1130.1,MARKUP GILA-GILAAN ⚠️
280,Samsung Galaxy S24 Ultra,18807127,22670126,3862999,20.5,Normal
281,Premium Penggaris 30cm plastik,54568,693564,638996,1171.0,MARKUP GILA-GILAAN ⚠️
282,Luxury Minuman Teh Kotak 200ml,63576,619798,556222,874.9,MARKUP GILA-GILAAN ⚠️
283,MacBook Pro M3 14 inch,29090193,30918213,1828020,6.3,Normal
284,Samsung Galaxy Watch 6,4513692,5530322,1016630,22.5,Normal
285,Blender Vitamix 5200,5950302,6593360,643058,10.8,Normal
286,Artisan Penggaris 30cm plastik,64098,423635,359537,560.9,MARKUP GILA-GILAAN ⚠️
287,Dashcam Viofo A129 Pro Duo,2241404,2780020,538616,24.0,Normal
288,Special Tisu Makan Premium 200 lembar,37104,536157,499053,1345.0,MARKUP GILA-GILAAN ⚠️
289,Helm Sepeda Giro Aether MIPS,4629944,5575873,945929,20.4,Normal
290,Syal Burberry Classic Check,5052247,5568770,516523,10.2,Normal
291,Ultra Minuman Teh Kotak 200ml,76947,1078437,1001490,1301.5,MARKUP GILA-GILAAN ⚠️
292,Body Lotion Bath & Body Works,347718,366340,18622,5.4,Normal
293,Salmon Sashimi Grade 500g,270744,322049,51305,18.9,Normal
294,Luxury Buku Tulis A5 biasa,57267,499418,442151,772.1,MARKUP GILA-GILAAN ⚠️
295,Xiaomi 14 Pro,12271492,13712354,1440862,11.7,Normal
296,Premium Masker medis 3 ply 50pcs,16972,124961,107989,636.3,MARKUP GILA-GILAAN ⚠️
297,Saus Truffle Urbani 180g,362462,393220,30758,8.5,Normal
298,Serum Rambut Pantene 70ml,86300,91603,5303,6.1,Normal
299,Exclusive Pulpen Pilot G2 0.5mm,34727,425585,390858,1125.5,MARKUP GILA-GILAAN ⚠️
300,Ultra Minuman Teh Kotak 200ml,75447,1177890,1102443,1461.2,MARKUP GILA-GILAAN ⚠️
301,Organic Pulpen Pilot G2 0.5mm,47431,746608,699177,1474.1,MARKUP GILA-GILAAN ⚠️
302,Sepeda Statis Peloton Bike+,24946819,26660084,1713265,6.9,Normal
303,RAM Corsair Vengeance 32GB DDR5,2451847,2843866,392019,16.0,Normal
304,Ultra Obat Paracetamol 500mg strip,28683,177203,148520,517.8,MARKUP GILA-GILAAN ⚠️
305,Protein Whey Optimum Nutrition 5lb,742339,802589,60250,8.1,Normal
306,Kompor Tanam Rinnai 4 Tungku,3632290,4159477,527187,14.5,Normal
307,VIP Sabun Cuci Piring biasa 800ml,40488,481275,440787,1088.7,MARKUP GILA-GILAAN ⚠️
308,Sepatu Vans Old Skool,809427,933613,124186,15.3,Normal
309,Krim Malam La Mer Moisturizing 60ml,4696617,4973962,277345,5.9,Normal
310,Canon EOS R6 Mark II,36382847,45120975,8738128,24.0,Normal
311,Mixer KitchenAid Artisan 4.8L,9129912,10186251,1056339,11.6,Normal
312,Gold Edition Penggaris 30cm plastik,67429,307824,240395,356.5,MARKUP GILA-GILAAN ⚠️
313,Suplemen Vitamin C 1000mg 100 Tab,114524,133111,18587,16.2,Normal
314,Samsung Galaxy Watch 6,4427197,5237237,810040,18.3,Normal
315,Xbox Series X,8190069,9771602,1581533,19.3,Normal
316,AC Daikin Inverter 1.5 PK,5742975,6423693,680718,11.9,Normal
317,Dompet Coach Crossgrain Leather,2145838,2584996,439158,20.5,Normal
318,Kemeja Polo Ralph Lauren,1574735,1814082,239347,15.2,Normal
319,Microwave Sharp 27L,1140758,1244827,104069,9.1,Normal
320,Deodorant Dove Original 150ml,45450,52545,7095,15.6,Normal
321,Air Fryer Philips 7L HD9270,1462397,1679996,217599,14.9,Normal
322,Mesin Espresso De'Longhi La Specialista,12259668,13248905,989237,8.1,Normal
323,iPad Pro 12.9 inch M2,17490175,20437978,2947803,16.9,Normal
324,Ultra Masker medis 3 ply 50pcs,4061,54282,50221,1236.7,MARKUP GILA-GILAAN ⚠️
325,Kopi Luwak Premium 200g,343492,388410,44918,13.1,Normal
326,Portable Charger Anker 26800mAh,580518,611523,31005,5.3,Normal
327,Samsung 65 inch QLED TV,15536622,19052541,3515919,22.6,Normal
328,Luxury Hand Sanitizer 100ml,10481,167664,157183,1499.7,MARKUP GILA-GILAAN ⚠️
329,Buku Sapiens Yuval Noah Harari,113771,137952,24181,21.3,Normal
330,Artisan Penggaris 30cm plastik,58850,365242,306392,520.6,MARKUP GILA-GILAAN ⚠️
331,Gold Edition Air Mineral Premium 500ml,45151,412636,367485,813.9,MARKUP GILA-GILAAN ⚠️
332,Kulkas Samsung Side by Side 700L,17131374,18857673,1726299,10.1,Normal
333,Teh Darjeeling FTGFOP1 100g,287217,302934,15717,5.5,Normal
334,Anggur Red Wine Bordeaux,643722,787625,143903,22.4,Normal
335,Processor Intel Core i9-14900K,9930210,12290987,2360777,23.8,Normal
